Date,Brent,WTI
9/15/1999,22.54,23.8
10/15/1999,22,22.69
11/15/1999,24.58,25
12/15/1999,25.47,26.1
1/15/2000,25.51,27.26
2/15/2000,27.78,29.37
3/15/2000,27.49,29.84
4/15/2000,22.76,25.72
5/15/2000,27.74,28.79
6/15/2000,29.8,31.82
7/15/2000,28.68,29.7
8/15/2000,30.2,31.26
9/15/2000,33.14,33.88
10/15/2000,30.96,33.11
11/15/2000,32.55,34.42
12/15/2000,25.66,28.44
1/15/2001,25.62,29.59
2/15/2001,27.5,29.61
3/15/2001,24.5,27.25
4/15/2001,25.66,27.49
5/15/2001,28.31,28.63
6/15/2001,27.85,27.6
7/15/2001,24.61,26.43
8/15/2001,25.68,27.37
9/15/2001,25.62,26.2
10/15/2001,20.54,22.17
11/15/2001,18.8,19.64
12/15/2001,18.71,19.39
1/15/2002,19.42,19.72
2/15/2002,20.28,20.72
3/15/2002,23.7,24.53
4/15/2002,25.73,26.18
5/15/2002,25.35,27.04
6/15/2002,24.08,25.52
7/15/2002,25.74,26.97
8/15/2002,26.65,28.39
9/15/2002,28.4,29.66
10/15/2002,27.54,28.84
11/15/2002,24.34,26.35
12/15/2002,28.33,29.46
1/15/2003,31.18,32.95
2/15/2003,32.77,35.83
3/15/2003,30.61,33.51
4/15/2003,25,28.17
5/15/2003,25.86,28.11
6/15/2003,27.65,30.66
7/15/2003,28.35,30.76
8/15/2003,29.89,31.57
9/15/2003,27.11,28.31
10/15/2003,29.61,30.34
11/15/2003,28.75,31.11
12/15/2003,29.81,32.13
1/15/2004,31.28,34.31
2/15/2004,30.86,34.69
3/15/2004,33.63,36.74
4/15/2004,33.59,36.75
5/15/2004,37.57,40.28
6/15/2004,35.18,38.03
7/15/2004,38.22,40.78
8/15/2004,42.74,44.9
9/15/2004,43.2,45.94
10/15/2004,49.78,53.28
11/15/2004,43.11,48.47
12/15/2004,39.6,43.15
1/15/2005,44.51,46.84
2/15/2005,45.48,48.15
3/15/2005,53.1,54.19
4/15/2005,51.88,52.98
5/15/2005,48.65,49.83
6/15/2005,54.35,56.35
7/15/2005,57.52,59
8/15/2005,63.98,64.99
9/15/2005,62.91,65.59
10/15/2005,58.54,62.26
11/15/2005,55.24,58.32
12/15/2005,56.86,59.41
1/15/2006,62.99,65.49
2/15/2006,60.21,61.63
3/15/2006,62.06,62.69
4/15/2006,70.26,69.44
5/15/2006,69.78,70.84
6/15/2006,68.56,70.95
7/15/2006,73.67,74.41
8/15/2006,73.23,73.04
9/15/2006,61.96,63.8
10/15/2006,57.81,58.89
11/15/2006,58.76,59.08
12/15/2006,62.47,61.96
1/15/2007,53.68,54.51
2/15/2007,57.56,59.28
3/15/2007,62.05,60.44
4/15/2007,67.49,63.98
5/15/2007,67.21,63.46
6/15/2007,71.05,67.49
7/15/2007,76.93,74.12
8/15/2007,70.76,72.36
9/15/2007,77.17,79.92
10/15/2007,82.34,85.8
11/15/2007,92.41,94.77
12/15/2007,90.93,91.69
1/15/2008,92.18,92.97
2/15/2008,94.99,95.39
3/15/2008,103.64,105.45
4/15/2008,109.07,112.58
5/15/2008,122.8,125.4
6/15/2008,132.32,133.88
7/15/2008,132.72,133.37
8/15/2008,113.24,116.67
9/15/2008,97.23,104.11
10/15/2008,71.58,76.61
11/15/2008,52.45,57.31
12/15/2008,39.95,41.12
1/15/2009,43.44,41.71
2/15/2009,43.32,39.09
3/15/2009,46.54,47.94
4/15/2009,50.18,49.65
5/15/2009,57.3,59.03
6/15/2009,68.61,69.64
7/15/2009,64.44,64.15
8/15/2009,72.51,71.05
9/15/2009,67.65,69.41
10/15/2009,72.77,75.72
11/15/2009,76.66,77.99
12/15/2009,74.46,74.47
1/15/2010,76.17,78.33
2/15/2010,73.75,76.39
3/15/2010,78.83,81.2
4/15/2010,84.82,84.29
5/15/2010,75.95,73.74
6/15/2010,74.76,75.34
7/15/2010,75.58,76.32
8/15/2010,77.04,76.6
9/15/2010,77.84,75.24
10/15/2010,82.67,81.89
11/15/2010,85.28,84.25
12/15/2010,91.45,89.15
1/15/2011,96.52,89.17
2/15/2011,103.72,88.58
3/15/2011,114.64,102.86
4/15/2011,123.26,109.53
5/15/2011,114.99,100.9
6/15/2011,113.83,96.26
7/15/2011,116.97,97.3
8/15/2011,110.22,86.33
9/15/2011,112.83,85.52
10/15/2011,109.55,86.32
11/15/2011,110.77,97.16
12/15/2011,107.87,98.56
1/15/2012,110.69,100.27
2/15/2012,119.33,102.2
3/15/2012,125.45,106.16
4/15/2012,119.75,103.32
5/15/2012,110.34,94.66
6/15/2012,95.16,82.3
7/15/2012,102.62,87.9
8/15/2012,113.36,94.13
9/15/2012,112.86,94.51
10/15/2012,111.71,89.49
11/15/2012,109.06,86.53
12/15/2012,109.49,87.86
1/15/2013,112.96,94.76
2/15/2013,116.05,95.31
3/15/2013,108.47,92.94
4/15/2013,102.25,92.02
5/15/2013,102.56,94.51
6/15/2013,102.92,95.77
7/15/2013,107.93,104.67
8/15/2013,111.28,106.57
9/15/2013,111.6,106.29
10/15/2013,109.08,100.54
11/15/2013,107.79,93.86
12/15/2013,110.76,97.63
1/15/2014,108.12,94.62
2/15/2014,108.9,100.82
3/15/2014,107.48,100.8
4/15/2014,107.76,102.07
5/15/2014,109.54,102.18
6/15/2014,111.8,105.79
7/15/2014,106.77,103.59
8/15/2014,101.61,96.54
9/15/2014,97.09,93.21
10/15/2014,87.43,84.4
11/15/2014,79.44,75.79
12/15/2014,62.34,59.29
1/15/2015,47.76,47.22
2/15/2015,58.1,50.58
3/15/2015,55.89,47.82
4/15/2015,59.52,54.45
5/15/2015,64.08,59.27
6/15/2015,61.48,59.82
7/15/2015,56.56,50.9
8/15/2015,46.52,42.87
9/15/2015,47.62,45.48
10/15/2015,48.43,46.22
11/15/2015,44.27,42.44
12/15/2015,38.01,37.19
1/15/2016,30.7,31.68
2/15/2016,32.18,30.32
3/15/2016,38.21,37.55
4/15/2016,41.58,40.75
5/15/2016,46.74,46.71
6/15/2016,48.25,48.76
7/15/2016,44.95,44.65
8/15/2016,45.84,44.72
9/15/2016,46.57,45.18
10/15/2016,49.52,49.78
11/15/2016,44.73,45.66
12/15/2016,53.31,51.97
1/15/2017,54.58,52.5
2/15/2017,54.87,53.47
3/15/2017,51.59,49.33
4/15/2017,52.31,51.06
5/15/2017,50.33,48.48
6/15/2017,46.37,45.18
7/15/2017,48.48,46.63
8/15/2017,51.7,48.04
9/15/2017,56.15,49.82
10/15/2017,57.51,51.58
11/15/2017,62.71,56.64
12/15/2017,64.37,57.88
1/15/2018,69.08,63.7
2/15/2018,65.32,62.23
3/15/2018,66.02,62.73
4/15/2018,72.11,66.25
5/15/2018,76.98,69.98
6/15/2018,74.41,67.87
7/15/2018,74.25,70.98
8/15/2018,72.53,68.06
9/15/2018,78.89,70.23
10/15/2018,81.03,70.75
11/15/2018,64.75,56.96
12/15/2018,57.36,49.52
1/15/2019,59.41,51.38
2/15/2019,63.96,54.95
3/15/2019,66.14,58.15
4/15/2019,71.23,63.86
5/15/2019,71.32,60.83
6/15/2019,64.22,54.66
7/15/2019,63.92,57.35
